Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,clean_text,label
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",  alsarabsss hes a beaner smh you can tell hes a mexican,1
91,3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",  happy birthday nigs thanks yo,1
95,3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig", leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,1
98,3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",  how come you never bring me food i dont have a car retard,1
104,3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""", harlem shake is just an excuse to go full retard for  seconds,1
105,3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh", amen miley   but she dont need to act like a hoe just bc shes emotionally damaged foh,1
108,3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands", check out our th man cowboysnation even with all those faggot ny fans in the stands,1
116,3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started", baseball season for the win yankees this is where the love started,0
119,3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""", im an early bird and im a night owl so im wise and have worms,0
121,3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."," pit bulls photographed as lovely fairy tale creatures 

they are fairy tale creatures",0
122,3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",  aw fag dont tweet aw to me lol,1
123,3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha", as long as the lakers trash from now on i could careless and thats real cc  hahaha,0
124,3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",  i didnt say anything tho kiss me then faggot,1
125,3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup", this the i play soccer cheat on girls and wear khaki coloured cargos haircut   yup,0
135,3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""", you a woulda coulda shoulda ass hoe ,1
142,3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc", this isnt ghettoits smart  im doing this idc,0
143,3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?", i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,1
144,3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu", being single isnt an excuse to be a hoe ,1
151,3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs", who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs,0
160,3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?", peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,0
161,3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
162,3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",  naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne,1
164,3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",  thats where i get my yellow flags for being amazing  hell yeah niggy,1
166,3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT", ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,0
174,3,0,3,0,1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !", easy cum easy hoe thats a fact ,1
182,3,0,0,3,2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum", stay tuned to  for an update on the report that  b  will be out  weeks  bum,0
183,3,0,0,3,2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",  i play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao,0
184,3,0,3,0,1,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT", oregon chokes every year get off the field trash ass program rft,1
186,3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers", lmfaoooo i hate black people  this is why theres black people and niggers,1
188,3,0,1,2,2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",  a pissed lad past out i would lick his dirty soles while he slept,0
189,3,0,1,2,2,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",  love frat boy w soft long soles,0
192,3,0,0,3,2,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",   i got hicks lol,0
198,6,0,0,6,2,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",  birds your grandkids may never see thanks to climate change   climate,0
200,3,0,3,0,1,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"," wutkinda

r purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls",1
203,3,0,2,1,1,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.", kobe stay talking trash but lets not forget   i meant to do this one smh,1
204,3,2,1,0,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"," at least im not a nigger 

lmfao",1
206,3,2,1,0,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",  ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,1
207,3,0,1,2,2,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf","  fosters home for imaginary trash whoa chill

that show was everything tf",0
208,6,0,5,1,1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!", i am lowkey tired if you tired be quiet and go to sleep hoe,1
209,3,0,3,0,1,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",  stop bringing weird niggers into my mentions  ,1
218,3,0,1,2,2,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",  of welfaregovernment aid is claimed by white people so yall black slander is trash now,0
222,3,0,1,2,2,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",  inna di ghetto you alone lmaoo,0
230,3,0,3,0,1,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*","  holy shit freddie highmore was in charlie and the chocolate factory
me rolls on the floor laughing",1
239,3,0,3,0,1,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;", im hungry but ionn wanna spend my money on foodbroke hoe problems ,1
242,3,0,1,2,2,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash", eli manning just threw his nflleading th interception of the season lmao trash,0
250,3,0,1,2,2,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",   tuku ho idk blah blah blah ,0
251,3,0,1,2,2,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",   im not mad cuh hahaha suure tuku ho ita ,0
255,3,1,2,0,1,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags", i wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags,1
258,3,0,3,0,1,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.", would you still love me when im no longer young and beautiful no ugly monkey ass,1
261,3,0,3,0,1,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5",  yea im on my ipad i dont work this friday lets ball this faggot up i work ,1
262,3,0,1,2,2,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it",  this scally lad would get it,0
263,3,2,1,0,0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger", gerryshalloweenparty  halloween was yesterday stupid nigger,1
271,3,0,3,0,1,"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""", and if you aint a hoe get up out my traphoussseeeee,1
272,3,0,0,3,2,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",  sad tv character deaths were still bitter over   stark was the man,0
277,3,0,0,3,2,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""", a smuggler explains how he helped fighters along the jihadi highway ,0
279,3,0,3,0,1,"""@WBeezy_: ""@Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?",  its simple dont be a hoedont worry about being exposed  fight mewhy ,1
285,3,1,2,0,1,"""@XoXo__Angiee: Bruno fag boy"" you love me.", bruno fag boy you love me,1
287,3,0,0,3,2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP", down  yankees look to rally in the bottom of the th rallycap,0
292,3,0,3,0,1,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",  ewww i said that last sundayas in the last sunday i was there read it again nigs,1
300,3,1,2,0,1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!", ya nigs out there still saying yall dont eat butt with a straight face,1
302,3,0,3,0,1,"""@_iwantfranny: He's a hoe , I can't""", hes a hoe  i cant,1
306,3,1,2,0,1,"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe..", why do my friends hate me because you a ratchet hoe,1
311,4,0,3,1,1,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",  i legit watched it for about  or  seconds so did i wtf prob cause were retarded smh,1
315,3,0,3,0,1,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe", tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe,1
317,3,2,1,0,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",  is bored supposed to be cute you faggot sometimes,1
318,3,0,0,3,2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""", one mans trash  is another mans treasure ,0
320,3,2,1,0,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",  lassen cc  the coach wants me i feel it youll get more my nig no doubt,1
322,3,1,2,0,1,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh", its me hoe its me hoe shhhhh,1
323,3,0,3,0,1,"""@chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.", in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe,1
326,3,0,1,2,2,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha", ashley young has tried to deny that bird s landed in his mouth gt   hahaha,0
328,3,0,1,2,2,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",  take me for a ride   woof woof,0
333,3,1,2,0,1,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892", roses are red and violets are blue and niggers are black you know thats true ,1
334,3,0,0,3,2,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta", sitting on my window sill window open bird tries to fly in smacked it protecttheanimals ,0
336,3,0,0,3,2,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby", a video an entire media will likely mock  i am such a crybaby,0
337,3,0,3,0,1,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*","   im not even shy stfu kikis mom hi angelique 
angelique smiles dips cracker in soup",1
341,3,0,0,3,2,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""", jihadi patron hajjaj alajmi is arrested at kuwait airport ,0
346,3,0,0,3,2,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""", tweety bird tho ,0
348,3,0,1,2,2,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""", when twitter rappers dm me their trash links ,0
353,4,0,3,1,1,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye ..",  k bye hoe um bye ,1
354,3,2,1,0,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!", jackies a retard blondeproblems at least i can make a grilled cheese,1
356,3,0,0,3,2,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven", photo  he is in sole heaven,0
361,3,0,0,3,2,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook"," we actin like its the th day  
spook",0
367,3,0,3,0,1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard",  aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,1
369,3,0,0,3,2,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"," colored contacts in your eyes
blinders on mine
cause i cant see you at all lmao",0
375,3,0,0,3,2,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",     swears im  man easily easily behind austin nip,0
377,4,0,0,4,2,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography", hgwells and charlie chaplin  history photography,0
384,3,1,0,2,2,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn"," i told mariam to but cigarettes for her birthday

you also called me trash rn",0
385,3,0,0,3,2,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",  brownies tonight what kind,0
388,3,0,3,0,1,"""@royalswagg_: using y=mx+b to find the slope of that ass""", using ymxb to find the slope of that ass,1
389,3,0,0,3,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it", fit lads nice gear  these scally lads n trainers would get it,0
396,6,0,2,4,2,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo", i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it  lmaoo,0
400,3,1,0,2,2,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT", dude remember this wop video   omg where did you find that,0
419,3,0,2,1,1,"""@wodaeeex3: I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128064;&#128064;&#128056;&#9749;", i want snake bites  my industrial piercin amp a tattoodem hoe accessories dea ,1
420,3,0,0,3,2,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395", baby albino   ,0
430,6,0,1,5,2,"""Bae"" sounds like such a ghetto word. Use something else",bae sounds like such a ghetto word use something else,0
432,3,0,3,0,1,"""Bleed out hoe!!!"" -Alexa",bleed out hoe alexa,1
434,3,0,0,3,2,"""Brownies for my brownie"" I love this movie. &#128517;",brownies for my brownie i love this movie ,0
438,3,0,1,2,2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS",chinese maverick we were communicating comrade  u know giving the imperialist yanks the birdie ,0
448,3,1,2,0,1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV",eff it lets go after the cripple ,1
450,3,0,3,0,1,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf""",facto  who cares if you a hoe when your ass looks like this ,1
455,3,0,0,3,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird  ,0
458,3,0,3,0,1,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe""",girls that i dated its okay i aint mad yo unless you stabbed me in the heart no love hoe,1
466,3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",hey go look at that video of the man that found the kidnapped girls in ohiowhat a nigger  shitmybosssays,1
468,6,0,2,4,2,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx",how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their ,0
474,3,0,0,3,2,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!",i am a thrill billywith a hillbilly heart  hahahahaha jesus murphy,0
481,3,0,1,2,2,"""I found a new way to chug you have to open your mouth alot"" #shitallysays",i found a new way to chug you have to open your mouth alot shitallysays,0
502,3,0,1,2,2,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd",ill slit your throatneck ,0
503,3,1,2,0,1,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",im a funky ass honkey   s shout out to  tonight before cabaret  jttour,1
507,3,0,3,0,1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol""",im gonna piss on your dimple  stop wasting prayers on trash teams lol,1
517,3,0,3,0,1,"""In My Mind""
Gotta be the dumb hoe anthem...","in my mind
gotta be the dumb hoe anthem",1
518,3,1,0,2,2,"""Is that an albino Mexican?""
""No dad, he's Asian.""","is that an albino mexican
no dad hes asian",0
522,3,0,2,1,1,"""It's the dykes"" -hunter dyke with a dyke http://t.co/LGtw3AWMeh",its the dykes hunter dyke with a dyke ,1
523,3,1,2,0,1,"""Julia Roberts, you're a ho"" @LaurenGardner8 #NottingHill",julia roberts youre a ho  nottinghill,1
524,3,0,0,3,2,"""Just follow the yellow brick twitter.""",just follow the yellow brick twitter,0
526,3,0,1,2,2,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod",lol cripple  wendy davis rt  scientists create remotecontrolled chick to study shy penguins ,0
527,3,0,2,1,1,"""Let's do nips ahoy and spank me maybe""",lets do nips ahoy and spank me maybe,1
528,3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",lets kill cracker babies wtf did i just hear wow,1
531,3,0,3,0,1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded""",lmao  the drose adidas are lighter than my phone  shit is retarded,1
532,3,0,1,2,2,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit.",mam rene doet in haar rol net of ze ongesteld is wat is ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,0
534,3,0,1,2,2,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids.""",mine plays dmx and kirk franklin smh  well my neighbors are ghetto  they get up at like am and beat their kids,0
535,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",my grandma used to call me a porch monkey all the time come to think of it she did refer to a broken bottle as a nigger knife ,1
537,3,0,2,1,1,"""My nips are freeeeezing...and that's not okay because they're slicing through my bra....""
&#128514;","my nips are freeeeezingand thats not okay because theyre slicing through my bra
",1
540,3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",nah its you   yo i thought some photoshopped my face on that faggot smmfhi hate yall ,1
546,3,0,0,3,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;",ovo  amp kendrick lamar still trash,0
547,3,0,3,0,1,"""On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke."" - @TallTrappin88 #RIPTALLT",on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke   riptallt,1
548,3,0,1,2,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game.",only a couple of red sox have gotten past first base im dying laughing maybe the yanks need to teach them some game,0
549,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",our people now is the time for the aryan race  stand up and say no more before the mongerls turn the world into a ghetto slum ,1
553,3,1,2,0,1,"""Roberto you are one nasty hoe""",roberto you are one nasty hoe,1
555,3,0,2,1,1,"""Searching"" the incredible story of 1 white man's quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land",searching the incredible story of  white mans quest to find the ingredients necessary to make caribbean jerked chicken in redneck land,1
560,3,0,3,0,1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam",she said wigga man you richtake the durag off ,1
562,3,1,2,0,1,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",shes from florida so youve got to do the sniff test in those swamp pussies ,1
564,3,0,3,0,1,"""So he's a good football player...but he still acts like a nig""",so hes a good football playerbut he still acts like a nig,1
568,3,0,3,0,1,"""That ain't bro moves, that's hoe moves""",that aint bro moves thats hoe moves,1
569,6,1,3,2,1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality.",that girl is plain looking borderline ugly amp chunky hey at least shes got a nice smile amp a great personality,1
570,3,0,0,3,2,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted""","the devil grows inside the hearts of the selfish and wicked
white brown yellow and black color is not restricted",0
571,3,0,0,3,2,"""The water isn't yellow, I'm a healthy student""",the water isnt yellow im a healthy student,0
576,3,1,2,0,1,"""They have some ghetto ass bands"" * gets snuck* &#128514;&#128514;&#128514;&#128514;",they have some ghetto ass bands  gets snuck ,1
577,3,0,0,3,2,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",they have to that division is trash  saints gon win the nfc southwatch,0
580,3,0,0,3,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26",this recipe calls for a leftover brownie what the hell is a leftover brownie thats just a brownie you havent eaten yet,0
581,3,1,2,0,1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black",those ratchet broads dont represent me but your white ass cant talk trash about them cause you on racist shit black,1
584,3,0,0,3,2,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant","two roads diverged in a yellow wood and i chose the one to jtunheimr
 robert frost giant",0
